userId,username,email,password,created_at
1,NarutoUzumaki,naruto@konoha.com,12345678,2025-05-13 14:53:00
2,SasukeUchiha,sasuke@konoha.com,12345678,2025-05-13 14:54:00
3,SakuraHaruno,sakura@konoha.com,12345678,2025-05-13 14:55:00
4,KakashiHatake,kakashi@konoha.com,12345678,2025-05-13 14:56:00
5,HinataHyuga,hinata@konoha.com,12345678,2025-05-13 14:57:00
6,ShikamaruNara,shikamaru@konoha.com,12345678,2025-05-13 14:58:00
7,InoYamanaka,ino@konoha.com,12345678,2025-05-13 14:59:00
8,ChojiAkimichi,choji@konoha.com,12345678,2025-05-13 15:00:00
9,RockLee,rocklee@konoha.com,12345678,2025-05-13 15:01:00
10,NejiHyuga,neji@konoha.com,12345678,2025-05-13 15:02:00
